id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1OkW0tv1k3kNB0IXDN2oPL,0.595,0.923,7,-4.866,1,0.0426,0.00684,0.002,0.168,0.811,114.061,197812,4
3alJBylWqwz6zFDhzT9xO3,0.614,0.833,0,-4.333,1,0.0708,0.108,1.37e-06,0.18,0.811,171.048,168927,4
0vu3XfUitueA4S7l93kNU3,0.42,0.943,6,-5.436,1,0.0808,0.00105,0.0,0.276,0.484,163.946,186147,4
6Y8TZ2mDCfVYE8O9VdGpaW,0.703,0.775,6,-7.244,1,0.0504,0.0614,9.02e-05,0.121,0.634,149.99,177431,4
4nuufyyd7Dn6DMuG96RYTQ,0.782,0.737,7,-3.339,1,0.0483,0.152,1.46e-05,0.133,0.938,119.981,195525,4
5eIAOdzmt3Nxd7XDFzek9U,0.684,0.536,2,-6.572,1,0.0442,0.195,0.0,0.0732,0.335,99.982,212947,4
3UUWEOSIkxMcCMSsipm6jz,0.476,0.841,6,-6.778,0,0.0434,0.0689,0.125,0.122,0.649,92.89,200717,4
0mIvRrpvEg5NDJIEoXee1E,0.636,0.529,5,-8.941,1,0.0422,0.185,0.000152,0.363,0.431,136.967,193987,4
27sBcXtgTBSJRdUxei1a7J,0.766,0.539,7,-4.927,1,0.0479,0.402,0.0,0.104,0.888,120.175,188501,4
1oMSJ93bJIhk4HLbmjhott,0.522,0.758,10,-6.176,1,0.109,0.0254,0.0,0.151,0.504,162.997,147360,4
5NZ5pvpLr7iu8BFWekMhLW,0.45,0.951,1,-4.422,1,0.25,0.0132,0.000125,0.126,0.719,173.95,191487,4
6wxdyMsMqUHOeMffm1Gsch,0.612,0.805,2,-3.963,1,0.0711,7.58e-05,0.000785,0.0837,0.7,160.116,193000,4
66LgSLTaY4qAPRNazf0Psn,0.52,0.858,0,-5.587,1,0.0645,1.97e-05,3.38e-05,0.47,0.566,150.049,160412,4
600nfkPMLq6JpNEvas08Qp,0.71,0.882,7,-3.767,1,0.027,0.226,0.497,0.0988,0.943,117.478,139336,4
4E2uNyCIUpK08njwoLQh02,0.734,0.77,2,-5.639,1,0.0338,0.0488,0.00913,0.183,0.693,114.981,204548,4
1EQFOouqdKYdpbNoOHRVO2,0.671,0.599,4,-6.18,1,0.0405,0.0658,0.0,0.101,0.448,121.849,159836,3
0yzj6eBs5a6X6d3P5qaQ5J,0.785,0.623,11,-6.923,1,0.0403,0.0505,0.125,0.0539,0.711,100.991,216759,4
2IwbIGkquI55VOzcWUg8fg,0.662,0.845,5,-6.173,0,0.0352,0.0211,0.108,0.342,0.679,114.957,202502,4
1jyN2jROkI3dR6UbnkDPrp,0.587,0.722,7,-8.332,1,0.0574,0.133,0.00322,0.133,0.294,81.973,198840,4
0eZmBWVC1HYayrP2fqQ7nu,0.79,0.744,9,-7.033,0,0.0294,0.287,0.000934,0.0909,0.798,123.984,174348,4
